year,median,average,men_median,men_average,women_median,women_average,white_median,white_average,black_median,black_average,hispanic_median,hispanic_average,white_men_median,white_men_average,black_men_median,black_men_average,hispanic_men_median,hispanic_men_average,white_women_median,white_women_average,black_women_median,black_women_average,hispanic_women_median,hispanic_women_average,recent_high-school_graduate,men_recent_high-school_graduate,women_recent_high-school_graduate,recent_college_graduate,men_recent_college_graduate,women_recent_college_graduate
2022,22.88,32.0,24.91,35.82,20.74,27.86,24.96,34.49,19.6,25.61,18.93,24.84,27.11,39.1,20.02,27.43,19.99,26.63,22.47,29.5,19.0,23.99,17.54,22.6,16.02,16.86,14.77,25.68,28.24,23.74
2021,23.05,32.08,24.93,35.61,21.46,28.28,25.4,34.5,19.45,25.4,19.14,24.9,27.76,38.78,20.08,26.88,20.2,26.45,22.76,29.9,18.85,24.13,17.77,22.9,15.23,15.86,14.33,25.68,28.66,23.47
2020,23.64,32.54,25.95,36.03,21.72,28.75,25.98,34.86,19.85,26.03,19.21,25.29,28.36,39.08,20.56,27.4,20.41,27.05,23.05,30.3,19.26,24.87,17.55,23.03,14.65,15.48,13.55,27.42,29.01,26.26
2019,22.12,30.36,24.04,33.65,20.42,26.83,24.39,32.79,18.45,24.09,18.19,23.49,27.39,36.84,19.31,25.18,19.39,25.08,22.01,28.41,18.08,23.17,17.08,21.5,14.54,15.36,13.47,24.7,26.59,23.3
2018,21.9,29.83,23.42,33.19,19.73,26.21,23.97,32.44,17.57,23.53,17.53,22.81,26.79,36.55,18.66,24.67,18.77,24.55,21.75,28.01,17.34,22.55,16.24,20.6,13.83,14.59,12.71,24.08,25.66,22.84
2017,21.55,29.21,23.78,32.27,19.69,25.91,23.87,31.64,17.84,22.95,17.79,22.52,26.36,35.3,18.15,24.27,18.45,24.05,21.48,27.71,17.22,21.81,15.75,20.54,13.5,14.23,12.55,24.08,25.94,22.63
2016,21.36,29.0,23.44,32.18,19.44,25.58,23.56,31.3,18.15,23.09,17.15,22.29,26.34,35.12,18.42,24.53,18.3,23.9,21.14,27.22,17.13,21.86,15.72,20.18,13.22,13.79,12.44,22.89,24.96,21.36
2015,20.99,28.43,23.19,31.52,19.07,25.11,23.37,30.75,17.38,22.72,16.5,21.57,25.73,34.57,18.4,24.0,17.78,22.97,20.77,26.66,16.64,21.65,14.93,19.74,13.19,13.65,12.51,22.75,25.53,20.56
2014,20.65,27.36,22.43,30.08,18.63,24.45,22.73,29.49,17.25,22.17,16.04,20.77,24.89,32.89,18.0,23.02,17.26,21.96,20.12,25.87,16.32,21.46,14.83,19.17,12.52,13.39,11.34,22.07,24.89,19.84
2013,20.63,27.54,22.63,30.49,18.87,24.38,22.73,29.72,17.61,22.34,15.72,20.64,25.19,33.42,18.73,23.45,16.45,21.82,20.24,25.79,16.89,21.42,15.01,19.05,12.38,13.11,11.42,21.42,23.75,19.57
2012,20.53,27.41,22.87,30.45,19.01,24.16,22.86,29.59,17.23,22.32,15.73,20.44,25.46,33.34,18.02,23.57,16.64,21.58,20.28,25.58,16.52,21.29,14.79,18.95,12.12,12.87,11.14,21.24,22.83,19.98
2011,20.79,27.26,22.76,29.99,19.34,24.34,22.73,29.27,17.69,22.32,15.76,20.49,25.24,32.73,18.35,23.26,16.44,21.42,20.34,25.64,16.98,21.55,15.11,19.18,12.29,12.99,11.36,21.98,23.93,20.57
2010,21.32,27.84,23.34,30.85,19.47,24.68,23.18,29.86,18.27,22.71,16.18,21.14,26.08,33.69,18.99,23.72,16.93,22.39,20.32,25.92,17.45,21.9,14.95,19.38,12.85,13.54,11.95,21.86,23.88,20.48
2009,21.45,27.9,23.9,31.15,19.57,24.52,23.35,29.86,18.37,22.7,16.52,21.33,26.49,33.96,19.64,23.99,17.61,22.59,20.56,25.67,17.54,21.68,15.22,19.55,12.95,13.68,12.03,23.14,25.81,21.28
2008,20.99,27.2,23.25,30.22,19.12,23.98,22.92,29.09,17.64,22.06,16.41,20.82,26.09,32.87,18.95,23.16,17.18,22.01,20.34,25.13,16.65,21.16,15.11,19.09,13.25,14.06,12.09,22.5,23.35,21.91
2007,21.15,27.11,23.27,30.06,18.95,23.9,22.78,29.02,17.7,22.19,16.38,20.7,25.85,32.78,18.72,23.22,17.08,21.77,20.33,25.03,17.06,21.33,14.9,19.13,13.7,14.74,12.36,22.94,25.16,21.33
2006,21.11,26.8,23.16,29.65,18.88,23.7,22.67,28.62,18.0,22.3,16.07,20.19,25.55,32.24,18.97,23.53,17.35,21.23,20.23,24.76,17.4,21.27,14.63,18.64,13.33,14.3,12.03,22.49,23.68,21.66
